"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/02/2025","1,328.53","1,332.85","1,334.91","1,327.99","554.89M","-0.26%"
"14/02/2025","1,331.93","1,329.53","1,338.53","1,329.53","453.74M","0.28%"
"13/02/2025","1,328.18","1,325.54","1,328.39","1,320.72","321.11M","0.16%"
"12/02/2025","1,326.00","1,330.75","1,333.28","1,325.85","327.17M","-0.12%"
"11/02/2025","1,327.53","1,321.71","1,327.53","1,318.43","425.05M","0.61%"
"10/02/2025","1,319.52","1,328.18","1,331.38","1,318.21","535.94M","-0.97%"
"07/02/2025","1,332.45","1,330.84","1,336.39","1,326.93","389.77M","0.18%"
"06/02/2025","1,330.11","1,331.43","1,334.71","1,326.48","379.74M","0.24%"
"05/02/2025","1,326.89","1,325.64","1,329.42","1,322.68","382.96M","0.37%"
"04/02/2025","1,322.03","1,313.60","1,322.36","1,311.87","422.90M","1.00%"
"03/02/2025","1,309.00","1,317.49","1,317.49","1,304.74","373.39M","-1.44%"
"24/01/2025","1,328.12","1,321.39","1,328.44","1,320.08","363.44M","0.52%"
"23/01/2025","1,321.22","1,297.30","1,325.73","1,297.30","375.34M","1.86%"
"22/01/2025","1,297.08","1,302.22","1,304.75","1,297.08","292.20M","-0.19%"
"21/01/2025","1,299.52","1,305.03","1,306.69","1,294.98","266.41M","-0.15%"
"20/01/2025","1,301.43","1,300.36","1,304.31","1,298.57","257.88M","0.14%"
"17/01/2025","1,299.59","1,290.14","1,299.59","1,286.51","239.23M","0.75%"
"16/01/2025","1,289.87","1,288.88","1,295.01","1,281.95","300.40M","0.52%"
"15/01/2025","1,283.24","1,279.08","1,285.14","1,276.66","284.84M","0.73%"
"14/01/2025","1,273.90","1,281.48","1,282.81","1,271.05","231.27M","-0.68%"
"13/01/2025","1,282.59","1,270.81","1,282.59","1,266.14","320.81M","0.54%"
"10/01/2025","1,275.70","1,293.89","1,295.47","1,275.70","349.08M","-1.42%"
"09/01/2025","1,294.05","1,299.73","1,302.26","1,291.24","200.61K","-0.44%"
"08/01/2025","1,299.72","1,294.81","1,299.72","1,288.33","258.77K","0.29%"
"07/01/2025","1,295.92","1,299.15","1,304.44","1,291.00","354.52K","-0.03%"
"06/01/2025","1,296.30","1,307.15","1,311.28","1,294.93","354.21K","-0.80%"
"03/01/2025","1,306.77","1,327.21","1,327.21","1,306.77","369.75K","-1.64%"
"02/01/2025","1,328.51","1,329.98","1,331.69","1,320.53","256.27K","-0.09%"
"31/12/2024","1,329.75","1,331.71","1,331.90","1,326.14","287.39K","-0.20%"
"30/12/2024","1,332.48","1,331.25","1,332.48","1,324.85","319.47K","0.03%"
"27/12/2024","1,332.13","1,327.14","1,333.93","1,327.14","432.53K","0.39%"
"26/12/2024","1,326.91","1,330.82","1,332.29","1,325.31","316.87K","-0.17%"
"25/12/2024","1,329.18","1,312.36","1,335.42","1,312.36","516.26K","1.30%"
"24/12/2024","1,312.18","1,312.97","1,313.05","1,303.31","360.40K","-0.04%"
"23/12/2024","1,312.75","1,311.09","1,315.08","1,310.53","252.38K","0.45%"
"20/12/2024","1,306.81","1,306.26","1,308.47","1,304.16","303.89K","0.13%"
"19/12/2024","1,305.12","1,318.48","1,318.48","1,298.74","490.87K","-1.06%"
"18/12/2024","1,319.06","1,315.35","1,320.03","1,313.98","267.78K","0.32%"
"17/12/2024","1,314.91","1,319.41","1,319.76","1,312.75","239.81K","-0.25%"
"16/12/2024","1,318.26","1,317.41","1,321.76","1,311.73","285.90K","0.11%"
"13/12/2024","1,316.87","1,320.49","1,320.99","1,314.73","281.30K","-0.39%"
"12/12/2024","1,322.05","1,323.67","1,329.45","1,319.99","362.03K","-0.10%"
"11/12/2024","1,323.33","1,324.10","1,330.25","1,317.54","356.22K","-0.05%"
"10/12/2024","1,324.00","1,324.49","1,328.29","1,320.61","353.90K","-0.04%"
"09/12/2024","1,324.48","1,324.43","1,329.86","1,318.93","412.44K","0.07%"
"06/12/2024","1,323.54","1,322.34","1,327.96","1,321.32","452.46K","0.09%"
"05/12/2024","1,322.40","1,287.03","1,322.40","1,282.00","649.20K","2.88%"
"04/12/2024","1,285.33","1,294.21","1,294.43","1,284.73","371.22K","-0.90%"
"03/12/2024","1,296.98","1,295.51","1,300.40","1,290.50","342.28K","0.09%"
